Company,Car_Name,Year,Selling_Price,Present_Price,Driven_kms,Fuel_Type,Selling_type,Transmission,Owner
MG,MG 4,2023,7869528,10800000,49583,Hybrid,Individual,Automatic,1
Proton,X70,2009,1828872,3500000,24088,Petrol,Individual,Manual,1
Haval,Jolion,2017,15894265,19600000,85050,Electric,Dealer,Manual,1
Hyundai,Tucson Ultimate,2014,21545346,24500000,196425,Diesel,Individual,Automatic,0
Suzuki,Fronx,2013,28968603,39000000,156283,Petrol,Individual,Automatic,0
Suzuki,Alto VXR,2010,11650738,14900000,193263,Hybrid,Dealer,Automatic,0
Mercedes,C-Class,2011,32873196,42000000,33083,Electric,Dealer,Automatic,2
BMW,5 Series,2005,10723497,12700000,198223,Hybrid,Dealer,Automatic,2
Kia,Picanto AT,2021,3865403,4300000,25396,Hybrid,Individual,Manual,1
Hyundai,Tucson GLS,2012,12518568,20200000,90042,Petrol,Dealer,Automatic,0
Toyota,Corolla Altis,2013,19343786,35000000,118626,Electric,Dealer,Automatic,0
Haval,H6 HEV,2024,5585450,7000000,29722,Hybrid,Individual,Manual,0
Suzuki,Wagon R VXR,2010,36019450,47100000,131061,Electric,Dealer,Automatic,1
Proton,X70,2020,1647359,2500000,104345,Electric,Individual,Manual,2
Toyota,Prado,2017,27159369,47200000,58477,Diesel,Dealer,Automatic,2
Toyota,Corolla Altis,2017,20521476,24700000,76896,Electric,Dealer,Manual,2
MG,HS Essence,2019,25832202,39200000,151585,Hybrid,Dealer,Manual,2
Hyundai,Palisade,2005,5707036,7300000,2031,Hybrid,Individual,Automatic,0
Audi,A6,2019,4172283,6900000,187155,Diesel,Individual,Manual,1
BYD,Sealion 6,2024,14511131,28300000,138445,Diesel,Dealer,Manual,0
Kia,Sportage AWD,2005,14796809,19500000,71722,Electric,Dealer,Automatic,2
BMW,3 Series,2016,2162332,3400000,29559,Hybrid,Dealer,Manual,1
Suzuki,Bolan,2019,5635251,6500000,152525,Petrol,Dealer,Automatic,2
Suzuki,Cultus VXL,2011,15774636,21700000,44552,Diesel,Dealer,Manual,1
Honda,City 1.5 Aspire,2007,31661889,38300000,115336,Hybrid,Individual,Manual,1
Suzuki,Swift GLX CVT,2006,2404957,3500000,62301,Petrol,Individual,Manual,2
Toyota,Prado,2014,32110488,39900000,128563,Diesel,Individual,Automatic,2
MG,HS Essence,2012,18187701,20300000,180902,Electric,Dealer,Automatic,0
Hyundai,Elantra 2.0,2022,4476047,7700000,80935,Electric,Individual,Manual,0
MG,HS Essence,2022,24733174,29400000,119544,Electric,Individual,Manual,1
Kia,Stonic EX+,2014,30759335,48200000,118896,Petrol,Dealer,Automatic,2
BYD,Atto 2,2005,15032782,22500000,44623,Hybrid,Dealer,Manual,0
Kia,Sportage Alpha,2007,4958103,6100000,82677,Hybrid,Individual,Manual,2
Kia,Sportage Alpha,2009,28346523,33400000,137622,Petrol,Dealer,Automatic,2
BYD,Seal,2015,14313623,27400000,14928,Diesel,Individual,Automatic,2
Honda,City 1.2 LS,2023,32365756,47800000,70384,Diesel,Individual,Automatic,2
Suzuki,Alto VX,2007,7730623,13000000,67281,Petrol,Dealer,Manual,1
Suzuki,Alto VXL,2021,35874786,42800000,117010,Diesel,Dealer,Automatic,1
Toyota,Fortuner V,2008,2502519,4200000,74971,Electric,Individual,Manual,1
Suzuki,Alto VXR,2022,6767921,8500000,139332,Hybrid,Dealer,Automatic,0
Suzuki,Alto VX,2016,7448011,8800000,144719,Petrol,Individual,Manual,0
BMW,3 Series,2024,20575243,30400000,56650,Diesel,Dealer,Automatic,2
Kia,Sorento AWD,2022,25026540,35400000,90426,Petrol,Individual,Manual,2
Honda,BR-V CVT-S,2018,13112979,25700000,3768,Electric,Individual,Manual,1
Suzuki,Cultus VXL,2009,3772995,6300000,144793,Petrol,Individual,Automatic,0
Changan,Alsvin Lumiere,2015,14068098,19600000,15086,Electric,Individual,Automatic,1
Toyota,Hilux Revo Rocco,2014,26144472,38100000,140554,Diesel,Individual,Automatic,2
Kia,Stonic EX+,2024,7118047,8000000,32852,Diesel,Individual,Automatic,2
Toyota,Fortuner V,2014,35650524,48700000,80575,Electric,Individual,Automatic,2
Honda,HR-V e:HEV,2006,3181163,4400000,180826,Petrol,Individual,Manual,2
Changan,Alsvin Lumiere,2020,7366394,8200000,186267,Hybrid,Individual,Automatic,1
Toyota,Land Cruiser 300,2006,11253743,17200000,60710,Electric,Dealer,Automatic,1
Kia,Sportage AWD,2015,26983231,39800000,149960,Diesel,Individual,Automatic,0
Suzuki,Fronx,2009,10673556,19200000,149280,Electric,Dealer,Automatic,0
Changan,Alsvin Lumiere,2014,20038829,34200000,183007,Petrol,Individual,Automatic,1
Hyundai,Tucson Ultimate,2022,15114592,27000000,168125,Diesel,Individual,Automatic,1
Hyundai,Sonata 2.5,2009,36134318,43300000,70568,Petrol,Individual,Manual,1
Hyundai,Tucson GLS,2005,17460103,22300000,157271,Electric,Dealer,Automatic,0
Honda,Civic Standard,2019,16665901,18600000,188979,Petrol,Individual,Automatic,2
Changan,Alsvin Lumiere,2022,23377033,32100000,128761,Hybrid,Dealer,Manual,2
Haval,Jolion,2018,16974288,33400000,161993,Electric,Dealer,Automatic,1
Toyota,Prado,2011,16858082,28000000,95799,Diesel,Individual,Manual,2
Suzuki,Fronx,2022,20491767,24700000,120151,Petrol,Dealer,Automatic,2
DFSK,Glory 500,2023,14694067,26200000,137822,Petrol,Dealer,Automatic,0
Hyundai,Palisade,2012,28357081,42400000,73737,Electric,Dealer,Manual,2
Audi,A6,2021,32405170,46900000,59173,Hybrid,Individual,Automatic,2
Toyota,Yaris ATIV X,2015,33925335,45600000,104539,Diesel,Dealer,Manual,2
Kia,Stonic EX+,2011,16786096,23700000,76329,Diesel,Dealer,Manual,0
Toyota,Corolla GLi,2024,24409928,29100000,77229,Hybrid,Dealer,Manual,2
BMW,3 Series,2019,37768405,45000000,111666,Petrol,Dealer,Automatic,0
Honda,HR-V VTi,2021,7267987,12000000,199466,Hybrid,Dealer,Automatic,0
Suzuki,Bolan,2020,20401145,33000000,198091,Electric,Individual,Automatic,2
Toyota,Hilux Revo V,2010,24685410,40200000,179461,Diesel,Dealer,Automatic,1
BYD,Seal,2009,1219909,1600000,112501,Electric,Dealer,Automatic,2
Suzuki,Carry,2016,12267401,17000000,117051,Diesel,Individual,Manual,0
BYD,Atto 2,2018,17165779,25300000,136676,Electric,Dealer,Automatic,0
Toyota,Fortuner V,2008,3631891,4500000,192776,Electric,Individual,Manual,2
Honda,Civic RS,2014,23888358,28600000,129308,Electric,Individual,Automatic,1
Honda,HR-V VTi,2006,5993522,9600000,5543,Hybrid,Dealer,Automatic,0
Chery,Tiggo 7 PHEV,2022,3451759,6500000,52174,Petrol,Dealer,Automatic,1
Toyota,Yaris ATIV,2022,32407462,49100000,167085,Electric,Dealer,Manual,0
Toyota,Corolla XLi,2014,15554999,20600000,46828,Petrol,Dealer,Automatic,2
Toyota,Corolla Altis,2022,13441743,21000000,150127,Diesel,Dealer,Manual,0
Kia,Sportage Alpha,2022,3803920,5000000,145346,Petrol,Individual,Manual,0
Suzuki,Bolan,2014,32253164,40800000,132914,Hybrid,Dealer,Automatic,2
BYD,Atto 2,2018,26166537,42100000,149375,Petrol,Individual,Automatic,0
Toyota,Hilux Revo Rocco,2015,24456643,35000000,59771,Electric,Dealer,Manual,0
Hyundai,Palisade,2024,10958131,18000000,90591,Electric,Dealer,Automatic,0
Suzuki,Fronx,2021,9906279,17000000,146960,Diesel,Dealer,Automatic,1
Hyundai,Tucson GLS,2021,12594720,14500000,25407,Petrol,Dealer,Automatic,0
Toyota,Corolla Grande,2009,8529625,11600000,79171,Electric,Individual,Automatic,2
BMW,iX,2005,8445839,10600000,7444,Petrol,Dealer,Automatic,2
Suzuki,Cultus VXL,2016,6680283,9500000,159056,Diesel,Dealer,Manual,2
Suzuki,Carry,2011,20668021,35800000,21384,Petrol,Dealer,Automatic,2
Mercedes,C-Class,2015,1797048,3500000,170787,Electric,Dealer,Manual,2
